work_type,t,shift,nurse_id,value
overtime,3,Night,13,0
regular,3,Night,13,0
overtime,3,Night,14,0
regular,3,Night,14,1
overtime,3,Night,15,0
regular,3,Night,15,0
overtime,3,Night,16,0
regular,3,Night,16,1
overtime,3,Night,17,0
regular,3,Night,17,0
overtime,3,Night,18,0
regular,3,Night,18,0
overtime,3,Night,19,0
regular,3,Night,19,0
overtime,3,Night,20,0
regular,3,Night,20,0
overtime,3,Night,21,0
regular,3,Night,21,0
overtime,3,Night,22,0
regular,3,Night,22,0
overtime,3,Night,23,0
regular,3,Night,23,0
overtime,3,Night,24,0
regular,3,Night,24,0
overtime,3,Night,25,0
regular,3,Night,25,0
overtime,3,Night,26,0
regular,3,Night,26,0
overtime,3,Night,27,0
regular,3,Night,27,1
overtime,3,Night,28,0
regular,3,Night,28,0
overtime,3,Night,29,0
regular,3,Night,29,0
overtime,4,Morning,0,0
regular,4,Morning,0,0
overtime,4,Morning,1,0
regular,4,Morning,1,0
overtime,4,Morning,2,0
regular,4,Morning,2,0
overtime,4,Morning,3,0
regular,4,Morning,3,1
overtime,4,Morning,4,0
regular,4,Morning,4,0
overtime,4,Morning,5,0
regular,4,Morning,5,1
overtime,4,Morning,6,0
regular,4,Morning,6,0
overtime,4,Morning,7,0
regular,4,Morning,7,0
overtime,4,Morning,8,0
regular,4,Morning,8,0
overtime,4,Morning,9,0
regular,4,Morning,9,1
overtime,4,Morning,10,0
regular,4,Morning,10,0
overtime,4,Morning,11,0
regular,4,Morning,11,0
overtime,4,Morning,12,0
regular,4,Morning,12,0
overtime,4,Morning,13,1
regular,4,Morning,13,0
overtime,4,Morning,14,0
regular,4,Morning,14,0
overtime,4,Morning,15,0
regular,4,Morning,15,1
overtime,4,Morning,16,0
regular,4,Morning,16,0
overtime,4,Morning,17,0
regular,4,Morning,17,0
overtime,4,Morning,18,0
regular,4,Morning,18,0
overtime,4,Morning,19,0
regular,4,Morning,19,0
overtime,4,Morning,20,0
regular,4,Morning,20,0
overtime,4,Morning,21,0
regular,4,Morning,21,0
